Feature,OR,CI_lo,CI_hi,P,Sig
const,0.1607520470147158,0.12289734513291115,0.21026671155080362,1.308291265655064e-40,***
lead_log,0.7916042762709228,0.7333190698862385,0.8545220708737646,2.111932975506598e-09,***
mercury_log,0.9822151463943468,0.9412874948431462,1.0249223527262847,0.40859089584319086,ns
cadmium_log,0.9788264573745203,0.9239160157147934,1.0370003521533422,0.4675043039487352,ns
age,1.0047337991093728,0.9996096247417205,1.0098842408941249,0.07024493049848293,ns
bmi,1.031919069109464,1.0263015065905048,1.0375673799109224,1.614026174917647e-29,***
education,1.0328340867259627,0.9868681997960891,1.0809409513078534,0.16425803033087838,ns
pregnant_now,0.7680355890499269,0.6357482152153741,0.9278495038282308,0.006210504079733762,**
race_Non-Hispanic Black,0.8330837962772114,0.7186435658605133,0.9657480350340454,0.015423461116611314,*
race_Non-Hispanic White,0.8561164651463669,0.7657906836272741,0.9570962634633525,0.0063170067385989,**
race_Other / Multiracial,1.1974320872349589,1.007046373037044,1.4238109007986333,0.04140220961046702,*
