Characteristic,Overall,No GDM,GDM
N,11257,7690,3567
Age (years),30.56 (9.06),30.37 (9.31),30.99 (8.48)
 Median (IQR),30.00 (23.00-38.00),,
BMI (kg/m2),28.44 (7.68),27.91 (7.43),29.57 (8.08)
 Median (IQR),26.81 (22.80-32.50),,
Waist (cm),92.96 (17.26),91.54 (16.67),96.02 (18.09)
 Median (IQR),90.50 (80.00-103.40),,
Blood lead (ug/dL),1.02 (1.03),1.06 (1.07),0.94 (0.95)
 Median (IQR),0.80 (0.53-1.20),,
Blood mercury (ug/L),1.34 (1.97),1.37 (2.03),1.28 (1.83)
 Median (IQR),0.77 (0.40-1.48),,
Blood cadmium (ug/L),0.48 (0.54),0.48 (0.54),0.47 (0.54)
 Median (IQR),0.30 (0.20-0.50),,
Race/Ethnicity,,,
  Non-Hispanic White,"4,236 (37.6%)","2,930 (38.1%)","1,306 (36.6%)"
  Hispanic,"3,531 (31.4%)","2,400 (31.2%)","1,131 (31.7%)"
  Non-Hispanic Black,"2,482 (22.0%)","1,738 (22.6%)",744 (20.9%)
  Other / Multiracial,"1,008 (9.0%)",622 (8.1%),386 (10.8%)
Currently pregnant,,,
  0,"10,054 (89.3%)","6,844 (89.0%)","3,210 (90.0%)"
  1,"1,203 (10.7%)",846 (11.0%),357 (10.0%)
